water_regime,plant_id,PAR_umol_m2_s,A_umol_CO2_m2_s
SevereDeficit,SevereDeficit_5,50,1.0272
SevereDeficit,SevereDeficit_5,100,2.0405
SevereDeficit,SevereDeficit_5,200,7.3409
SevereDeficit,SevereDeficit_5,400,8.1986
SevereDeficit,SevereDeficit_5,700,9.9805
SevereDeficit,SevereDeficit_5,1000,12.5331
SevereDeficit,SevereDeficit_5,1400,10.1013
SevereDeficit,SevereDeficit_5,1800,9.9572
SevereDeficit,SevereDeficit_6,0,-3.0686
SevereDeficit,SevereDeficit_6,50,1.2518
SevereDeficit,SevereDeficit_6,100,3.5935
SevereDeficit,SevereDeficit_6,200,6.8744
SevereDeficit,SevereDeficit_6,400,10.2456
SevereDeficit,SevereDeficit_6,700,10.829
SevereDeficit,SevereDeficit_6,1000,14.0413
SevereDeficit,SevereDeficit_6,1400,12.6583
SevereDeficit,SevereDeficit_6,1800,11.8369
