day,depth_cm,theta_cm3_cm3,rain_mm_d,ET0_mm_d
4.0,60.0,0.24164440089041594,0.21978766666481014,3.472789228047705
4.5,10.0,0.34996874636191705,4.414553294057308,3.4334219590663766
4.5,20.0,0.3223216405348225,4.414553294057308,3.4334219590663766
4.5,30.0,0.2922640959775028,4.414553294057308,3.4334219590663766
4.5,40.0,0.2766280316508077,4.414553294057308,3.4334219590663766
4.5,60.0,0.24468289471847213,4.414553294057308,3.4334219590663766
5.0,10.0,0.3607522912024907,12.0,3.379541643231187
5.0,20.0,0.33535727433513296,12.0,3.379541643231187
5.0,30.0,0.30831512821896856,12.0,3.379541643231187
5.0,40.0,0.29130430465865437,12.0,3.379541643231187
5.0,60.0,0.25824906233251643,12.0,3.379541643231187
5.5,10.0,0.35628463801851046,4.414553294057308,3.3144982976156996
5.5,20.0,0.33502869007175795,4.414553294057308,3.3144982976156996
5.5,30.0,0.31582786229663157,4.414553294057308,3.3144982976156996
5.5,40.0,0.29995161192393494,4.414553294057308,3.3144982976156996
5.5,60.0,0.2678167179888115,4.414553294057308,3.3144982976156996
6.0,10.0,0.33926650244529644,0.21978766666481014,3.2423360024179604
6.0,20.0,0.32500300132315235,0.21978766666481014,3.2423360024179604
6.0,30.0,0.3074606030519381,0.21978766666481014,3.2423360024179604
6.0,40.0,0.2942401589571092,0.21978766666481014,3.2423360024179604
6.0,60.0,0.26967300629044977,0.21978766666481014,3.2423360024179604
6.5,10.0,0.3150650869303142,0.0014809176490401547,3.1675414596409674
6.5,20.0,0.2979528555570776,0.0014809176490401547,3.1675414596409674
6.5,30.0,0.28919804319885717,0.0014809176490401547,3.1675414596409674
6.5,40.0,0.28053563791026154,0.0014809176490401547,3.1675414596409674
6.5,60.0,0.2630299124459422,0.0014809176490401547,3.1675414596409674
7.0,10.0,0.2995186960681122,1.3504220966311093e-06,3.094765031693114
7.0,20.0,0.28618712764237875,1.3504220966311093e-06,3.094765031693114
7.0,30.0,0.273641258409426,1.3504220966311093e-06,3.094765031693114
7.0,40.0,0.2645368051230611,1.3504220966311093e-06,3.094765031693114
7.0,60.0,0.2513546881218603,1.3504220966311093e-06,3.094765031693114
7.5,10.0,0.28812405927533413,1.6665532637956824e-10,3.028531604377297
7.5,20.0,0.27456749043547446,1.6665532637956824e-10,3.028531604377297
7.5,30.0,0.26527929378102316,1.6665532637956824e-10,3.028531604377297
7.5,40.0,0.24626096552586493,1.6665532637956824e-10,3.028531604377297
7.5,60.0,0.23570962612318133,1.6665532637956824e-10,3.028531604377297
8.0,10.0,0.2830983480424367,2.7834273962922828e-15,2.9729592514076217
8.0,20.0,0.2637749890599784,2.7834273962922828e-15,2.9729592514076217
8.0,30.0,0.25498008210473794,2.7834273962922828e-15,2.9729592514076217
8.0,40.0,0.24158027238534,2.7834273962922828e-15,2.9729592514076217
8.0,60.0,0.22871476386067421,2.7834273962922828e-15,2.9729592514076217
8.5,10.0,0.2802205162755851,6.291462796036157e-21,2.931503192531425
8.5,20.0,0.26346387823710904,6.291462796036157e-21,2.931503192531425
8.5,30.0,0.24928850071450984,6.291462796036157e-21,2.931503192531425
8.5,40.0,0.23843241265113194,6.291462796036157e-21,2.931503192531425
8.5,60.0,0.22380900602466758,6.291462796036157e-21,2.931503192531425
9.0,10.0,0.2821938702678318,1.9245730686583655e-27,2.906740964700471
9.0,20.0,0.2596946846735712,1.9245730686583655e-27,2.906740964700471
9.0,30.0,0.2505275163612006,1.9245730686583655e-27,2.906740964700471
9.0,40.0,0.2320631371566506,1.9245730686583655e-27,2.906740964700471
9.0,60.0,0.21494462559090594,1.9245730686583655e-27,2.906740964700471
9.5,10.0,0.2820801164729676,7.967612639496882e-35,2.900212163307387
9.5,20.0,0.26072087580098996,7.967612639496882e-35,2.900212163307387
9.5,30.0,0.24785872900160852,7.967612639496882e-35,2.900212163307387
9.5,40.0,0.23637342625590232,7.967612639496882e-35,2.900212163307387
9.5,60.0,0.21843048560676853,7.967612639496882e-35,2.900212163307387
10.0,10.0,0.2770611616426364,4.4640911712250035e-43,2.9123227176010587
10.0,20.0,0.2622515189780434,4.4640911712250035e-43,2.9123227176010587
10.0,30.0,0.2455629035512508,4.4640911712250035e-43,2.9123227176010587
10.0,40.0,0.23542963771633407,4.4640911712250035e-43,2.9123227176010587
10.0,60.0,0.21836416526171956,4.4640911712250035e-43,2.9123227176010587
